,File Name,Flight Number,Departure Airport,Arrival Airport,Aircraft Registration,Scheduled Time of Departure,Flight Date
268,202502132025322338253.xml,HA266,HNL,OGG,N484HA,21:35:00Z,2025-02-13
269,202502132213472339068.xml,HA287,KOA,HNL,N494HA,00:15:00Z,2025-02-14
270,202502132005402338140.xml,HA242,HNL,ITO,N495HA,21:15:00Z,2025-02-13
271,202502131700322337056.xml,HA1621,SBD,CVG,N4663K,20:00:00Z,2025-02-13
272,202502131550542336604.xml,HA1619,SMF,AFW,N5879K,18:45:00Z,2025-02-13
273,202502130409502334292.xml,HA555,OGG,HNL,N488HA,06:30:00Z,2025-02-13
274,202502131939582337996.xml,HA1622,SBD,JFK,N4787K,22:39:00Z,2025-02-13
275,202502131233362335898.xml,HA49,PDX,HNL,N379HA,15:00:00Z,2025-02-13
276,202502132311052339532.xml,HA9,LAX,HNL,N374HA,01:00:00Z,2025-02-14
277,202502132056402338437.xml,HA48,HNL,OAK,N226HA,22:55:00Z,2025-02-13
278,202502131821182337592.xml,HA164,LIH,HNL,N487HA,19:30:00Z,2025-02-13
279,202502131451252336317.xml,HA125,OGG,HNL,N488HA,17:10:00Z,2025-02-13
280,202502131459262336359.xml,HA1641,SMF,CVG,N5827K,17:45:00Z,2025-02-13
281,202502131956162338082.xml,HA297,KOA,HNL,N491HA,00:55:00Z,2025-02-14
282,202502132105392338527.xml,HA272,HNL,ITO,N490HA,22:15:00Z,2025-02-13
283,202502132348562339835.xml,HA18,HNL,LAS,N399HA,01:40:00Z,2025-02-14
284,202502131840392337706.xml,HA205,OGG,HNL,N477HA,21:10:00Z,2025-02-13
285,202502131620412336807.xml,HA121,ITO,HNL,N489HA,17:30:00Z,2025-02-13
286,202502131451252336316.xml,HA126,HNL,OGG,N488HA,16:00:00Z,2025-02-13
287,202502132053452338414.xml,HA863,HNL,HND,N381HA,22:25:00Z,2025-02-13
288,202502131821182337593.xml,HA94,HNL,AUS,N392HA,20:05:00Z,2025-02-13
289,202502132311052339533.xml,HA312,HNL,ITO,N489HA,00:20:00Z,2025-02-14
290,202502132102532338509.xml,HA459,HNL,ICN,N379HA,22:50:00Z,2025-02-13
291,202502132136162338740.xml,HA267,KOA,HNL,N478HA,23:15:00Z,2025-02-13
292,202502132345382339801.xml,HA297,KOA,HNL,N491HA,00:55:00Z,2025-02-14
293,202502132215202339094.xml,HA238,HNL,KOA,N485HA,20:30:00Z,2025-02-13
294,202502130905562335425.xml,HA864,HND,HNL,N370HA,11:05:00Z,2025-02-13
295,202502131712462337153.xml,HA152,HNL,ITO,N495HA,18:22:00Z,2025-02-13
296,202502131836492337692.xml,HA171,ITO,HNL,N495HA,19:46:00Z,2025-02-13
297,202502131345522336036.xml,HA23,OAK,OGG,N223HA,15:20:00Z,2025-02-13
298,202502131452422336323.xml,HA19,SMF,HNL,N383HA,17:15:00Z,2025-02-13
299,202502131330382336013.xml,HA51,JFK,HNL,N378HA,15:00:00Z,2025-02-13
300,202502132250522339351.xml,HA326,HNL,OGG,N487HA,00:00:00Z,2025-02-14
301,202502131507272336397.xml,HA7,LAS,HNL,N399HA,17:00:00Z,2025-02-13
302,202502132220302339143.xml,HA207,KOA,HNL,N485HA,21:50:00Z,2025-02-13
