,Flight Identifier,Waypoint Name,Waypoint ID,Sequence ID,Latitude,Longitude,Fuel On Board (lb),Burn Off (lb),Cumulated Burn Off (lb),Time Over Waypoint,File Name
49,HAL7,ALANA,ALANA,49,75870.0,-568578.0,19099,261,69589,2025-02-13T23:27:00,202502131507272336397.xml
50,HAL7,PHNL,PHNL,50,76746.0,-568512.0,18663,436,70025,2025-02-13T23:32:00,202502131507272336397.xml
51,HAL7,PHNL,PHNL,51,76746.0,-568512.0,18663,0,0,2025-02-13T23:32:00,202502131507272336397.xml
52,HAL7,PALAY,PALAY,52,75978.0,-567252.0,15371,3292,3292,2025-02-13T23:37:00,202502131507272336397.xml
53,HAL7,TOC,TOC,53,75900.0,-567120.1,15173,198,3490,2025-02-13T23:38:00,202502131507272336397.xml
54,HAL7,TOD,N/A,54,75570.0,-566532.0,14822,351,3841,2025-02-13T23:40:00,202502131507272336397.xml
55,HAL7,ROSHE,ROSHE,55,75336.0,-566111.9,14767,55,3896,2025-02-13T23:41:00,202502131507272336397.xml
56,HAL7,LNY,LNY,56,74754.0,-565085.9,14594,173,4069,2025-02-13T23:44:00,202502131507272336397.xml
57,HAL7,KEIKI,KEIKI,57,74472.0,-564042.0,14406,188,4257,2025-02-13T23:48:00,202502131507272336397.xml
58,HAL7,CAMPS,CAMPS,58,74394.0,-563772.0,14349,57,4314,2025-02-13T23:49:00,202502131507272336397.xml
59,HAL7,PHOG,PHOG,59,75234.0,-563148.0,13854,495,4809,2025-02-13T23:55:00,202502131507272336397.xml
